company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1001601,1001601_10K_2020_0001493152-21-008913.json,item_7,Negative,-0.11,1.0,46,0.09,0.22
1001601,1001601_10K_2020_0001493152-21-008913.json,item_1A,Negative,-0.42,1.0,82,0.04,0.56
1002517,1002517_10K_2021_0001002517-21-000052.json,item_7,Negative,-0.14,1.0,131,0.14,0.27
1002517,1002517_10K_2021_0001002517-21-000052.json,item_1A,Negative,-0.51,1.0,91,0.01,0.64
1013462,1013462_10K_2020_0001013462-21-000009.json,item_7,Neutral,0.03,1.0,144,0.22,0.19
1013462,1013462_10K_2020_0001013462-21-000009.json,item_1A,Negative,-0.5,1.0,86,0.05,0.64
1013857,1013857_10K_2020_0001013857-21-000032.json,item_7,Positive,0.09,1.0,48,0.19,0.08
1013857,1013857_10K_2020_0001013857-21-000032.json,item_1A,Negative,-0.36,1.0,104,0.05,0.49
1015739,1015739_10K_2020_0001564590-21-006373.json,item_7,Neutral,0.01,1.0,39,0.18,0.15
1015739,1015739_10K_2020_0001564590-21-006373.json,item_1A,Negative,-0.49,1.0,48,0.0,0.6
1017655,1017655_10K_2020_0001654954-21-003649.json,item_7,Negative,-0.09,1.0,27,0.07,0.19
1017655,1017655_10K_2020_0001654954-21-003649.json,item_1A,Negative,-0.35,1.0,51,0.06,0.49
1019034,1019034_10K_2020_0001437749-21-007486.json,item_7,Neutral,0.0,1.0,37,0.16,0.16
1019034,1019034_10K_2020_0001437749-21-007486.json,item_1A,Negative,-0.39,1.0,64,0.0,0.47
1019671,1019671_10K_2021_0001564590-21-018886.json,item_7,Negative,-0.14,1.0,94,0.05,0.2
1019671,1019671_10K_2021_0001564590-21-018886.json,item_1A,Negative,-0.51,1.0,136,0.07,0.66
1021435,1021435_10K_2020_0001493152-21-007517.json,item_7,Neutral,-0.03,1.0,32,0.12,0.16
1021435,1021435_10K_2020_0001493152-21-007517.json,item_1A,Negative,-0.41,1.0,46,0.07,0.57
1022505,1022505_10K_2021_0001493152-21-032215.json,item_7,Negative,-0.11,1.0,24,0.12,0.21
1022505,1022505_10K_2021_0001493152-21-032215.json,item_1A,Negative,-0.49,1.0,155,0.02,0.61
1023731,1023731_10K_2021_0001023731-21-000091.json,item_7,Positive,0.15,1.0,61,0.34,0.2
1023731,1023731_10K_2021_0001023731-21-000091.json,item_1A,Negative,-0.42,1.0,131,0.05,0.55
1029744,1029744_10K_2021_0001437749-21-028230.json,item_7,Neutral,0.0,1.0,3,0.0,0.0
1029744,1029744_10K_2021_0001437749-21-028230.json,item_1A,Negative,-0.47,1.0,143,0.06,0.6
1031308,1031308_10K_2020_0001628280-21-003727.json,item_7,Positive,0.05,1.0,235,0.19,0.13
1031308,1031308_10K_2020_0001628280-21-003727.json,item_1A,Negative,-0.46,1.0,114,0.0,0.55
1036188,1036188_10K_2021_0001437749-21-008761.json,item_7,Negative,-0.1,1.0,133,0.16,0.26
1036188,1036188_10K_2021_0001437749-21-008761.json,item_1A,Negative,-0.53,1.0,90,0.02,0.64
1039280,1039280_10K_2021_0001493152-21-023957.json,item_7,Neutral,0.01,1.0,83,0.19,0.17
1044777,1044777_10K_2020_0001558370-21-001842.json,item_7,Negative,-0.13,1.0,92,0.08,0.21
1044777,1044777_10K_2020_0001558370-21-001842.json,item_1A,Negative,-0.57,1.0,130,0.02,0.68
1046327,1046327_10K_2020_0001046327-21-000018.json,item_7,Negative,-0.25,1.0,55,0.07,0.35
1046327,1046327_10K_2020_0001046327-21-000018.json,item_1A,Negative,-0.46,1.0,84,0.01,0.55
1050446,1050446_10K_2020_0001564590-21-005783.json,item_7,Negative,-0.21,1.0,122,0.05,0.28
1050446,1050446_10K_2020_0001564590-21-005783.json,item_1A,Negative,-0.35,1.0,152,0.02,0.43
1052054,1052054_10K_2020_0001562762-21-000123.json,item_7,Negative,-0.07,1.0,68,0.15,0.21
1052054,1052054_10K_2020_0001562762-21-000123.json,item_1A,Negative,-0.52,1.0,137,0.02,0.65
1054721,1054721_10K_2020_0001437749-21-006492.json,item_7,Negative,-0.16,1.0,35,0.11,0.29
1054721,1054721_10K_2020_0001437749-21-006492.json,item_1A,Negative,-0.55,1.0,87,0.03,0.68
1056696,1056696_10K_2020_0001564590-21-004542.json,item_7,Negative,-0.1,1.0,94,0.17,0.27
1056696,1056696_10K_2020_0001564590-21-004542.json,item_1A,Negative,-0.57,1.0,89,0.03,0.71
1064722,1064722_10K_2020_0001760319-21-000039.json,item_7,Positive,0.07,1.0,62,0.11,0.02
1064722,1064722_10K_2020_0001760319-21-000039.json,item_1A,Negative,-0.38,1.0,269,0.04,0.5
1066194,1066194_10K_2021_0001558370-21-012388.json,item_7,Negative,-0.1,1.0,69,0.12,0.26
1066194,1066194_10K_2021_0001558370-21-012388.json,item_1A,Negative,-0.55,1.0,118,0.02,0.67
1066684,1066684_10K_2020_0001104659-21-042359.json,item_7,Negative,-0.24,1.0,12,0.0,0.33
1066684,1066684_10K_2020_0001104659-21-042359.json,item_1A,Negative,-0.18,1.0,22,0.0,0.23
1073349,1073349_10K_2021_0001073349-21-000114.json,item_7,Neutral,-0.04,1.0,112,0.22,0.26
